호칭명,A,B,t,r1,r2,단면적,단위무게,Cx_Cy,Ix_Iy,max_Iu,min_Iv,ix_iy,max_iu,min_iv,Zx_Zy
25x25,25,25,3,4,2,1.427,1.12,0.719,0.797,1.26,0.332,0.747,0.940,0.483,0.448
30x30,30,30,3,4,2,1.727,1.36,0.844,1.42,2.26,0.590,0.908,1.14,0.585,0.661
40x40,40,40,3,4.5,2,2.336,1.83,1.09,3.53,5.60,1.46,1.23,1.55,0.790,1.21
40x40,40,40,5,4.5,3,3.755,2.95,1.17,5.42,8.59,2.25,1.20,1.51,0.774,1.91
45x45,45,45,4,6.5,3,3.492,2.74,1.24,6.50,10.3,2.70,1.36,1.72,0.880,2.00
45x45,45,45,5,6.5,3,4.302,3.38,1.28,7.91,12.5,3.29,1.36,1.71,0.874,2.46
50x50,50,50,4,6.5,3,3.892,3.06,1.37,9.06,14.4,3.76,1.53,1.92,0.983,2.49
50x50,50,50,5,6.5,3,4.802,3.77,1.41,11.1,17.5,4.58,1.52,1.91,0.976,3.08
50x50,50,50,6,6.5,4.5,5.644,4.46,1.44,12.6,20.0,5.23,1.50,1.88,0.963,3.55
60x60,60,60,4,6.5,3,4.692,3.68,1.61,16.0,25.4,6.62,1.85,2.33,1.19,3.66
60x60,60,60,5,6.5,3,5.802,4.55,1.66,19.6,31.2,8.09,1.84,2.32,1.18,4.52
65x65,65,65,5,8.5,3,6.367,5.00,1.77,25.3,40.1,10.5,1.99,2.51,1.28,5.35
65x65,65,65,6,8.5,4,7.527,5.91,1.81,29.4,46.6,12.2,1.98,2.49,1.27,6.26
65x65,65,65,8,8.5,6,9.761,7.66,1.88,36.8,58.3,15.3,1.94,2.44,1.25,7.96
70x70,70,70,6,8.5,4,8.127,6.38,1.93,37.1,58.9,15.3,2.14,2.69,1.37,7.33
75x75,75,75,6,8.5,4,8.727,6.85,2.06,46.1,73.2,19.0,2.30,2.90,1.48,8.47
75x75,75,75,9,8.5,6,12.69,9.96,2.17,64.4,102,26.7,2.25,2.84,1.45,12.1
75x75,75,75,12,8.5,6,16.56,13.0,2.29,81.9,129,34.5,2.22,2.79,1.44,15.7
80x80,80,80,6,8.5,4,9.327,7.32,2.18,56.4,89.6,23.2,2.46,3.10,1.58,9.70
90x90,90,90,6,10,5,10.55,8.28,2.42,80.7,128,33.4,2.77,3.48,1.78,12.3
90x90,90,90,7,10,5,12.22,9.59,2.46,93.0,148,38.3,2.76,3.48,1.77,14.2
90x90,90,90,10,10,7,17.00,13.3,2.57,125,199,51.7,2.71,3.42,1.74,19.5
90x90,90,90,13,10,7,21.71,17.0,2.69,156,248,65.3,2.68,3.38,1.73,24.8
100x100,100,100,7,10,5,13.62,10.7,2.71,129,205,53.2,3.08,3.88,1.98,17.7
100x100,100,100,10,10,7,19.00,14.9,2.82,175,278,72.0,3.04,3.83,1.95,24.4
100x100,100,100,13,10,7,24.31,19.1,2.94,220,348,91.1,3.00,3.78,1.94,31.1
120x120,120,120,8,12,5,18.76,14.7,3.24,258,410,106,3.71,4.67,2.38,29.5
130x130,130,130,9,12,6,22.74,17.9,3.53,366,583,150,4.01,5.06,2.57,38.7
130x130,130,130,12,12,8.5,29.76,23.4,3.64,467,743,192,3.96,5.00,2.54,49.9
130x130,130,130,15,12,8.5,36.75,28.8,3.76,568,902,234,3.93,4.95,2.53,61.5
150x150,150,150,12,14,7,34.77,27.3,4.14,740,1180,304,4.61,5.82,2.96,68.1
150x150,150,150,15,14,10,42.74,33.6,4.24,888,1410,365,4.56,5.75,2.92,82.6
150x150,150,150,19,14,10,53.38,41.9,4.40,1090,1730,451,4.52,5.69,2.91,103
175x175,175,175,12,15,11,40.52,31.8,4.73,1170,1860,480,5.38,6.78,3.44,91.8
175x175,175,175,15,15,11,50.21,39.4,4.85,1440,2290,589,5.35,6.75,3.42,114
200x200,200,200,15,17,12,57.75,45.3,5.46,2180,3470,891,6.14,7.75,3.93,150
200x200,200,200,20,17,12,76.00,59.7,5.67,2820,4490,1160,6.09,7.68,3.90,197
200x200,200,200,25,17,12,93.75,73.6,5.86,3420,5420,1410,6.04,7.61,3.88,242
250x250,250,250,25,24,12,119.4,93.7,7.10,3950,11000,2860,7.63,9.62,4.90,388
250x250,250,250,35,24,18,162.6,128,7.45,9110,14400,3790,7.49,9.42,4.83,519
