호칭치수,단위무게,D,t,단면적,규격,KS규격여부
21.7x2,0.972,21.7,2,1.24,STK,O
27.2x2,1.24,27.2,2,1.58,STK,O
27.2x2.3,1.41,27.2,2.3,1.8,STK,O
34x2.3,1.8,34,2.3,2.29,STK,O
42.7x2.3,2.29,42.7,2.3,2.92,STK,O
42.7x2.8,2.76,42.7,2.8,3.51,STK,O
48.6x2.3,2.63,48.6,2.3,3.35,STK,O
48.6x2.8,3.16,48.6,2.8,4.03,STK,O
48.6x3.2,3.58,48.6,3.2,4.56,STK,O
60.5x2.3,3.3,60.5,2.3,4.21,STK,O
60.5x3.2,4.52,60.5,3.2,5.76,STK,O
60.5x4,5.57,60.5,4,7.1,STK,O
76.3x2.8,5.08,76.3,2.8,6.47,STK,O
76.3x3.2,5.77,76.3,3.2,7.35,STK,O
76.3x4,7.13,76.3,4,9.09,STK,O
89.1x2.8,5.96,89.1,2.8,7.59,STK,O
89.1x3.2,6.78,89.1,3.2,8.64,STK,O
89.1x4,8.39,89.1,4,10.69,STK,O
101.6x3.2,7.76,101.6,3.2,9.89,STK,O
101.6x4,9.63,101.6,4,12.26,STK,O
101.6x5,11.9,101.6,5,15.17,STK,O
114.3x3.2,8.77,114.3,3.2,11.17,STK,O
114.3x3.6,9.83,114.3,3.6,12.52,STK,O
114.3x4.5,12.2,114.3,4.5,15.52,STK,O
114.3x5.6,15,114.3,5.6,19.12,STK,O
139.8x3.6,12.1,139.8,3.6,15.4,STK,O
139.8x4,13.4,139.8,4,17.07,STK,O
139.8x4.5,15,139.8,4.5,19.13,STK,O
139.8x6,19.8,139.8,6,25.22,STK,O
165.2x4.5,17.8,165.2,4.5,22.72,STK,O
165.2x5,19.8,165.2,5,25.16,STK,O
165.2x6,23.6,165.2,6,30.01,STK,O
165.2x7,27.3,165.2,7,34.79,STK,O
190.7x4.5,20.7,190.7,4.5,26.32,STK,O
190.7x5,22.9,190.7,5,29.17,STK,O
190.7x6,27.3,190.7,6,34.82,STK,O
190.7x7,31.7,190.7,7,40.4,STK,O
216.3x4.5,23.5,216.3,4.5,29.94,STK,O
216.3x6,31.1,216.3,6,39.64,STK,O
216.3x7,36.1,216.3,7,46.03,STK,O
216.3x8,41.1,216.3,8,52.35,STK,O
267.4x6,38.7,267.4,6,49.27,STK,O
267.4x7,45,267.4,7,57.26,STK,O
267.4x8,51.2,267.4,8,65.19,STK,O
267.4x9,57.4,267.4,9,73.06,STK,O
318.5x6,46.2,318.5,6,58.9,STK,O
318.5x7,53.8,318.5,7,68.5,STK,O
318.5x8,61.3,318.5,8,78.04,STK,O
318.5x9,68.7,318.5,9,87.51,STK,O
355.6x6.3,54.3,355.6,6.3,69.13,STK,O
355.6x8,68.6,355.6,8,87.36,STK,O
355.6x9,76.9,355.6,9,98,STK,O
355.6x12,102,355.6,12,129.53,STK,O
406.4x9,88.2,406.4,9,112.36,STK,O
406.4x12,117,406.4,12,148.69,STK,O
406.4x16,154,406.4,16,196.24,STK,O
406.4x19,182,406.4,19,231.24,STK,O
457.2x9,99.5,457.2,9,126.73,STK,O
457.2x12,132,457.2,12,167.84,STK,O
457.2x16,174,457.2,16,221.77,STK,O
457.2x19,205,457.2,19,261.56,STK,O
508x9,111,508,9,141.09,STK,O
508x12,147,508,12,186.99,STK,O
508x14,171,508,14,217.27,STK,O
508x16,194,508,16,247.31,STK,O
558.8x9,122,558.8,9,155.45,STK,O
558.8x12,162,558.8,12,206.14,STK,O
558.8x16,214,558.8,16,272.84,STK,O
558.8x19,253,558.8,19,322.21,STK,O
558.8x22,291,558.8,22,371.01,STK,O
609.6x9,133,609.6,9,169.82,STK,O
609.6x12,177,609.6,12,225.29,STK,O
609.6x14,206,609.6,14,261.96,STK,O
609.6x16,234,609.6,16,298.38,STK,O
609.6x19,277,609.6,19,352.53,STK,O
609.6x22,319,609.6,22,406.12,STK,O
700x9,153,700,9,195.38,STK,O
700x12,204,700,12,259.37,STK,O
700x14,237,700,14,301.72,STK,O
700x16,270,700,16,343.82,STK,O
711.2x9,156,711.2,9,198.54,STK,O
711.2x12,207,711.2,12,263.59,STK,O
711.2x14,241,711.2,14,306.64,STK,O
711.2x16,274,711.2,16,349.45,STK,O
812.8x9,178,812.8,9,227.27,STK,O
812.8x12,237,812.8,12,301.89,STK,O
812.8x14,276,812.8,14,351.33,STK,O
812.8x16,314,812.8,16,400.52,STK,O
914.4x12,267,914.4,12,340.2,STK,O
914.4x14,311,914.4,14,396.02,STK,O
914.4x16,354,914.4,16,451.59,STK,O
914.4x19,420,914.4,19,534.47,STK,O
1016x12,297,1016,12,378.5,STK,O
1016x14,346,1016,14,440.7,STK,O
1016x16,395,1016,16,502.65,STK,O
1016x19,467,1016,19,595.11,STK,O
