Bar_Size,Diameter(mm),Area(mm2),Weight(kg/m),Diameter(in),Area(in2),Weight(lb/ft)
D6,6.35,31.67,0.249,0.250,0.049,0.167
D10,9.53,71.33,0.560,0.375,0.111,0.376
D13,12.7,126.7,0.995,0.500,0.196,0.669
D16,15.9,198.6,1.56,0.626,0.308,1.048
D19,19.1,286.5,2.25,0.752,0.444,1.512
D22,22.2,387.1,3.04,0.874,0.600,2.043
D25,25.4,506.7,3.98,1.000,0.785,2.674
D29,28.6,642.4,5.04,1.126,0.996,3.387
D32,31.8,794.2,6.23,1.252,1.231,4.186
D35,34.9,956.6,7.51,1.374,1.483,5.047
D38,38.1,1140,8.95,1.500,1.767,6.014
D41,41.3,1340,10.5,1.626,2.077,7.056
D51,50.8,2027,15.9,2.000,3.142,10.684
