호칭치수,단위무게,A,B,t,r,단면적,규격,주문규격,표기중량
20x20x1.2,0.68,20,20,1.2,2.4,0.87,SPSR,,0.697
20x20x1.6,0.87,20,20,1.6,3.2,1.11,SPSR,,0.872
25x25x1.2,0.87,25,25,1.2,2.4,1.11,SPSR,,0.867
25x25x1.6,1.12,25,25,1.6,3.2,1.43,SPSR,,1.12
30x30x1.2,1.06,30,30,1.2,2.4,1.35,SPSR,,1.06
30x30x1.6,1.38,30,30,1.6,3.2,1.75,SPSR,,1.38
40x40x1.6,1.88,40,40,1.6,3.2,2.39,SPSR,,1.88
40x40x2.3,2.62,40,40,2.3,4.6,3.33,SPSR,,2.62
50x50x1.6,2.38,50,50,1.6,3.2,3.03,SPSR,,2.38
50x50x2.3,3.34,50,50,2.3,4.6,4.25,SPSR,,3.34
50x50x3.2,4.50,50,50,3.2,6.4,5.73,SPSR,,4.5
60x60x1.6,2.88,60,60,1.6,3.2,3.67,SPSR,,2.88
60x60x2.3,4.06,60,60,2.3,4.6,5.17,SPSR,,4.06
60x60x3.2,5.50,60,60,3.2,6.4,7.01,SPSR,,5.5
75x75x1.6,3.64,75,75,1.6,3.2,4.63,SPSR,,3.64
75x75x2.3,5.14,75,75,2.3,4.6,6.55,SPSR,,5.14
75x75x3.2,7.01,75,75,3.2,6.4,8.93,SPSR,,7.01
75x75x4.5,9.55,75,75,4.5,9,12.17,SPSR,,9.55
80x80x2.3,5.50,80,80,2.3,4.6,7.01,SPSR,O,5.5
80x80x3.2,7.51,80,80,3.2,6.4,9.57,SPSR,O,7.51
80x80x4.5,10.26,80,80,4.5,9,13.07,SPSR,O,10.3
90x90x2.3,6.23,90,90,2.3,4.6,7.93,SPSR,O,6.23
90x90x3.2,8.51,90,90,3.2,6.4,10.85,SPSR,O,8.51
100x100x2.3,6.95,100,100,2.3,4.6,8.85,SPSR,,6.95
100x100x3.2,9.52,100,100,3.2,6.4,12.13,SPSR,,9.52
100x100x4,11.73,100,100,4,8,14.95,SPSR,,11.7
100x100x4.5,13.08,100,100,4.5,9,16.67,SPSR,,13.1
100x100x6,16.98,100,100,6,12,21.63,SPSR,,17
100x100x9,24.08,100,100,9,18,30.67,SPSR,,24.1
100x100x12,30.25,100,100,12,24,38.53,SPSR,,30.2
125x125x3.2,12.03,125,125,3.2,6.4,15.33,SPSR,,12
125x125x4.5,16.62,125,125,4.5,9,21.17,SPSR,,16.6
125x125x5,18.33,125,125,5,10,23.36,SPSR,,18.3
125x125x6,21.69,125,125,6,12,27.63,SPSR,,21.7
125x125x9,31.14,125,125,9,18,39.67,SPSR,,31.7
125x125x12,39.67,125,125,12,24,50.53,SPSR,,39.7
150x150x4.5,20.15,150,150,4.5,9,25.67,SPSR,,20.1
150x150x5,22.26,150,150,5,10,28.36,SPSR,,22.3
150x150x6,26.40,150,150,6,12,33.63,SPSR,,26.4
150x150x9,38.21,150,150,9,18,48.67,SPSR,,38.2
175x175x4.5,23.68,175,175,4.5,9,30.17,SPSR,,23.7
175x175x5,26.18,175,175,5,10,33.36,SPSR,,26.2
175x175x6,31.11,175,175,6,12,39.63,SPSR,,31.1
200x200x4.5,27.21,200,200,4.5,9,34.67,SPSR,,27.2
200x200x5,30.11,200,200,5,10,38.36,SPSR,,30.1
200x200x6,35.82,200,200,6,12,45.63,SPSR,,35.8
200x200x9,52.34,200,200,9,18,66.67,SPSR,,52.3
200x200x12,67.93,200,200,12,24,86.53,SPSR,,67.9
250x250x5,37.96,250,250,5,10,48.36,SPSR,,38
250x250x6,45.24,250,250,6,12,57.63,SPSR,,45.2
250x250x8,59.50,250,250,8,16,75.79,SPSR,,59.5
250x250x9,66.47,250,250,9,18,84.67,SPSR,,66.5
250x250x12,86.77,250,250,12,24,110.53,SPSR,,86.8
300x300x4.5,41.34,300,300,4.5,9,52.67,SPSR,,41.3
300x300x6,54.66,300,300,6,12,69.63,SPSR,,54.7
300x300x9,80.60,300,300,9,18,102.67,SPSR,,80.6
300x300x12,105.61,300,300,12,24,134.53,SPSR,,106
200x200x6,35.58,200,200,6,15,45.32,ROLL,,35.6
200x200x8,46.51,200,200,8,20,59.24,ROLL,,46.5
200x200x9,51.79,200,200,9,22.5,65.98,ROLL,,51.8
200x200x12,66.96,200,200,12,30,85.30,ROLL,,67
250x250x6,45.00,250,250,6,15,57.32,ROLL,,45
250x250x8,59.07,250,250,8,20,75.24,ROLL,,59.1
250x250x9,65.92,250,250,9,22.5,83.98,ROLL,,65.9
250x250x12,85.80,250,250,12,30,109.30,ROLL,,85.8
250x250x14,98.46,250,250,14,35,125.43,ROLL,,98.5
250x250x16,110.66,250,250,16,40,140.97,ROLL,,111
300x300x6,54.42,300,300,6,15,69.32,ROLL,,54.4
300x300x8,71.63,300,300,8,20,91.24,ROLL,,71.6
300x300x9,80.05,300,300,9,22.5,101.98,ROLL,,80.1
300x300x12,104.64,300,300,12,30,133.30,ROLL,,105
300x300x14,120.44,300,300,14,35,153.43,ROLL,,120
300x300x16,135.78,300,300,16,40,172.97,ROLL,,136
300x300x19,157.91,300,300,19,47.5,201.16,ROLL,,158
350x350x9,94.18,350,350,9,22.5,119.98,ROLL,,94.2
350x350x12,123.48,350,350,12,30,157.30,ROLL,,123
350x350x14,142.42,350,350,14,35,181.43,ROLL,,142
350x350x16,160.90,350,350,16,40,204.97,ROLL,,161
350x350x19,187.74,350,350,19,47.5,239.16,ROLL,,188
350x350x22,213.54,350,350,22,55,272.02,ROLL,,214
400x400x9,108.31,400,400,9,22.5,137.98,ROLL,,108
400x400x12,142.32,400,400,12,30,181.30,ROLL,,142
400x400x14,164.40,400,400,14,35,209.43,ROLL,,164
400x400x16,186.02,400,400,16,40,236.97,ROLL,,186
400x400x19,217.57,400,400,19,47.5,277.16,ROLL,,218
400x400x22,248.08,400,400,22,55,316.02,ROLL,,248
450x450x9,122.44,450,450,9,22.5,155.98,ROLL,,122
450x450x12,161.16,450,450,12,30,205.30,ROLL,,161
450x450x14,186.38,450,450,14,35,237.43,ROLL,,186
450x450x16,211.14,450,450,16,40,268.97,ROLL,,211
450x450x19,247.40,450,450,19,47.5,315.16,ROLL,,247
450x450x22,282.62,450,450,22,55,360.02,ROLL,,283
500x500x9,136.57,500,500,9,22.5,173.98,ROLL,,137
500x500x12,180.00,500,500,12,30,229.30,ROLL,,180
500x500x14,208.36,500,500,14,35,265.43,ROLL,,208
500x500x16,236.26,500,500,16,40,300.97,ROLL,,236
500x500x19,277.23,500,500,19,47.5,353.16,ROLL,,277
500x500x22,317.16,500,500,22,55,404.02,ROLL,,317
550x550x12,198.84,550,550,12,30,253.30,ROLL,,199
550x550x14,230.34,550,550,14,35,293.43,ROLL,,230
550x550x16,261.38,550,550,16,40,332.97,ROLL,,261
550x550x19,307.06,550,550,19,47.5,391.16,ROLL,,307
550x550x22,351.70,550,550,22,55,448.02,ROLL,,352
600x600x9,163.74,600,600,9,31.5,208.59,PRESS,,164
600x600x12,215.74,600,600,12,42,274.82,PRESS,,216
600x600x16,283.05,600,600,16,56,360.57,PRESS,,283
600x600x19,332.03,600,600,19,66.5,422.97,PRESS,,332
600x600x22,379.71,600,600,22,77,483.71,PRESS,,380
600x600x25,426.11,600,600,25,87.5,542.81,PRESS,,426
600x600x28,471.20,600,600,28,98,600.26,PRESS,,471
600x600x32,529.33,600,600,32,112,674.30,PRESS,,529
600x600x36,585.15,600,600,36,126,745.41,PRESS,,585
600x600x38,612.20,600,600,38,133,779.87,PRESS,,612
600x600x40,638.67,600,600,40,140,813.59,PRESS,,639
